year,n_games,wins,win_rate,close_n,close_win_rate,blowout_wins_n,blowout_losses_n,pyth_win_pct,avg_opp_elo_proxy
2014,13,10,0.7692307692307693,6,0.5,6,0,0.7154206642474565,1329.259556878307
2015,12,3,0.25,7,0.14285714285714285,2,3,0.5749422413101573,1342.929552013643
2016,12,8,0.6666666666666666,4,0.75,3,3,0.5632689561621178,1430.9994687131052
2017,11,5,0.45454545454545453,4,0.25,4,3,0.5334779156222279,1337.5179365079364
2018,12,7,0.5833333333333334,3,0.6666666666666666,4,3,0.6205017366778155,1360.5353141807684
2019,12,3,0.25,5,0.6,0,6,0.17126748265259167,1547.1865833661288
2020,10,3,0.3,1,1.0,2,6,0.2644555195899098,1596.4439594356259
2021,12,3,0.25,5,0.2,2,3,0.31208813124983387,1268.1222353404173
2022,12,5,0.4166666666666667,5,0.8,1,6,0.23245598142140006,1476.371940181031
2023,12,6,0.5,4,0.5,3,3,0.5128085070425649,1426.0755903187721
2024,12,7,0.5833333333333334,6,0.6666666666666666,2,2,0.5925238911893054,1483.350725108225
2025,12,9,0.75,5,0.8,4,1,0.6601503998312039,1391.630230880231
